INFO:root:('SET', '1001')
INFO:root:('CHANGE', '1002')
INFO:root:('CHANGE', '1001')
INFO:root:('CHANGE', '1002')
INFO:root:('CHANGE', '1001')
INFO:root:('CHANGE', '1000')
INFO:root:('CHANGE', '1001')
INFO:root:('CHANGE', '1002')
INFO:root:('CHANGE', '1003')
INFO:root:('CHANGE', '1002')
INFO:root:('CHANGE', '1003')
INFO:root:('CHANGE', '1004')
INFO:root:('CHANGE', '1003')
INFO:root:('CHANGE', '1002')
INFO:root:('CHANGE', '1001')
INFO:root:('CHANGE', '1000')
INFO:root:('CHANGE', '999')
INFO:root:('CHANGE', '1000')
INFO:root:('CHANGE', '1001')
INFO:root:('CHANGE', '1002')
INFO:root:('CHANGE', '1003')
INFO:root:('CHANGE', '1004')
INFO:root:('CHANGE', '1005')
INFO:root:('CHANGE', '1004')
INFO:root:('CHANGE', '1005')
INFO:root:('CHANGE', '1006')
INFO:root:('CHANGE', '1005')
INFO:root:('CHANGE', '1004')
INFO:root:('CHANGE', '1005')
INFO:root:('CHANGE', '1004')
INFO:root:('CHANGE', '1003')
INFO:root:('CHANGE', '1002')
INFO:root:('CHANGE', '1003')
INFO:root:('CHANGE', '1004')
INFO:root:('CHANGE', '1003')
INFO:root:('CHANGE', '1002')
INFO:root:('CHANGE', '1001')
INFO:root:('CHANGE', '1002')
INFO:root:('CHANGE', '1003')
INFO:root:('CHANGE', '1004')
INFO:root:('CHANGE', '1003')
INFO:root:('CHANGE', '1002')
INFO:root:('CHANGE', '1003')
INFO:root:('CHANGE', '1002')
INFO:root:('CHANGE', '1003')
INFO:root:('CHANGE', '1002')
INFO:root:('CHANGE', '1003')
INFO:root:('CHANGE', '1002')
INFO:root:('CHANGE', '1003')
INFO:root:('CHANGE', '1002')
INFO:root:('CHANGE', '1001')
INFO:root:('CHANGE', '1000')
INFO:root:('CHANGE', '1001')
INFO:root:('CHANGE', '1002')
INFO:root:('CHANGE', '1001')
INFO:root:('CHANGE', '1002')
INFO:root:('CHANGE', '1003')
INFO:root:('CHANGE', '1002')
INFO:root:('CHANGE', '1001')
INFO:root:('CHANGE', '1002')
INFO:root:('CHANGE', '1001')
INFO:root:('CHANGE', '1002')
INFO:root:('CHANGE', '1001')
INFO:root:('CHANGE', '1002')
INFO:root:('CHANGE', '1003')
INFO:root:('CHANGE', '1004')
INFO:root:('CHANGE', '1005')
INFO:root:('CHANGE', '1006')
INFO:root:('CHANGE', '1005')
INFO:root:('CHANGE', '1006')
INFO:root:('CHANGE', '1007')
INFO:root:('CHANGE', '1006')
INFO:root:('CHANGE', '1005')
INFO:root:('CHANGE', '1006')
INFO:root:('CHANGE', '1005')
INFO:root:('CHANGE', '1006')
INFO:root:('CHANGE', '1005')
INFO:root:('CHANGE', '1004')
INFO:root:('CHANGE', '1003')
INFO:root:('CHANGE', '1002')
INFO:root:('CHANGE', '1003')
INFO:root:('CHANGE', '1002')
INFO:root:('CHANGE', '1001')
INFO:root:('CHANGE', '1000')
INFO:root:('CHANGE', '999')
INFO:root:('CHANGE', '998')
INFO:root:('CHANGE', '997')
INFO:root:('CHANGE', '996')
INFO:root:('CHANGE', '997')
INFO:root:('CHANGE', '998')
INFO:root:('CHANGE', '999')
INFO:root:('CHANGE', '1000')
INFO:root:('CHANGE', '999')
INFO:root:('CHANGE', '998')
INFO:root:('CHANGE', '999')
INFO:root:('CHANGE', '1000')
INFO:root:('CHANGE', '999')
INFO:root:('CHANGE', '998')
INFO:root:('CHANGE', '997')
INFO:root:('CHANGE', '996')
INFO:root:('CHANGE', '997')
INFO:root:('CHANGE', '996')
INFO:root:('CHANGE', '995')
INFO:root:('CHANGE', '996')
INFO:root:('CHANGE', '995')
INFO:root:('CHANGE', '994')
INFO:root:('CHANGE', '995')
INFO:root:('CHANGE', '996')
INFO:root:('CHANGE', '995')
INFO:root:('CHANGE', '996')
INFO:root:('CHANGE', '995')
INFO:root:('CHANGE', '996')
INFO:root:('CHANGE', '995')
INFO:root:('CHANGE', '996')
INFO:root:('CHANGE', '995')
INFO:root:('CHANGE', '996')
INFO:root:('CHANGE', '995')
INFO:root:('CHANGE', '994')
INFO:root:('CHANGE', '995')
INFO:root:('CHANGE', '994')
INFO:root:('CHANGE', '993')
INFO:root:('CHANGE', '994')
INFO:root:('CHANGE', '995')
INFO:root:('CHANGE', '996')
INFO:root:('CHANGE', '997')
INFO:root:('CHANGE', '996')
INFO:root:('CHANGE', '995')
INFO:root:('CHANGE', '994')
INFO:root:('CHANGE', '995')
INFO:root:('CHANGE', '994')
INFO:root:('CHANGE', '995')
INFO:root:('CHANGE', '996')
INFO:root:('CHANGE', '997')
INFO:root:('CHANGE', '998')
INFO:root:('CHANGE', '999')
INFO:root:('CHANGE', '1000')
INFO:root:('CHANGE', '999')
INFO:root:('CHANGE', '1000')
INFO:root:('CHANGE', '999')
INFO:root:('CHANGE', '998')
INFO:root:('CHANGE', '997')
INFO:root:('CHANGE', '996')
INFO:root:('CHANGE', '997')
INFO:root:('CHANGE', '998')
INFO:root:('CHANGE', '999')
INFO:root:('CHANGE', '998')
INFO:root:('CHANGE', '997')
INFO:root:('CHANGE', '996')
INFO:root:('CHANGE', '997')
INFO:root:('CHANGE', '996')
INFO:root:('CHANGE', '997')
INFO:root:('CHANGE', '996')
INFO:root:('CHANGE', '997')
INFO:root:('CHANGE', '996')
INFO:root:('CHANGE', '997')
INFO:root:('CHANGE', '996')
INFO:root:('CHANGE', '997')
INFO:root:('CHANGE', '998')
INFO:root:('CHANGE', '999')
INFO:root:('CHANGE', '998')
INFO:root:('CHANGE', '997')
INFO:root:('CHANGE', '996')
INFO:root:('CHANGE', '997')
INFO:root:('CHANGE', '996')
INFO:root:('CHANGE', '997')
INFO:root:('CHANGE', '998')
INFO:root:('CHANGE', '997')
INFO:root:('CHANGE', '996')
INFO:root:('CHANGE', '995')
INFO:root:('CHANGE', '996')
INFO:root:('CHANGE', '995')
INFO:root:('CHANGE', '994')
INFO:root:('CHANGE', '993')
INFO:root:('CHANGE', '994')
INFO:root:('CHANGE', '995')
INFO:root:('CHANGE', '996')
INFO:root:('CHANGE', '995')
INFO:root:('CHANGE', '996')
INFO:root:('CHANGE', '995')
INFO:root:('CHANGE', '994')
INFO:root:('CHANGE', '995')
INFO:root:('CHANGE', '996')
INFO:root:('CHANGE', '995')
INFO:root:('CHANGE', '994')
INFO:root:('CHANGE', '993')
INFO:root:('CHANGE', '994')
INFO:root:('CHANGE', '993')
INFO:root:('CHANGE', '992')
INFO:root:('CHANGE', '993')
INFO:root:('CHANGE', '992')
INFO:root:('CHANGE', '991')
INFO:root:('CHANGE', '992')
INFO:root:('CHANGE', '993')
INFO:root:('CHANGE', '992')
INFO:root:('CHANGE', '993')
INFO:root:('CHANGE', '994')
INFO:root:('CHANGE', '993')
INFO:root:('CHANGE', '994')
INFO:root:('CHANGE', '993')
INFO:root:('CHANGE', '994')
INFO:root:('CHANGE', '995')
INFO:root:('CHANGE', '994')
INFO:root:('CHANGE', '993')
INFO:root:('CHANGE', '992')
INFO:root:('CHANGE', '991')
INFO:root:('CHANGE', '992')
INFO:root:('CHANGE', '991')
INFO:root:('CHANGE', '990')
INFO:root:('CHANGE', '989')
INFO:root:('CHANGE', '988')
INFO:root:('CHANGE', '987')
INFO:root:('CHANGE', '988')
INFO:root:('CHANGE', '989')
INFO:root:('CHANGE', '990')
INFO:root:('CHANGE', '989')
INFO:root:('CHANGE', '990')
INFO:root:('CHANGE', '991')
INFO:root:('CHANGE', '990')
INFO:root:('CHANGE', '991')
INFO:root:('CHANGE', '990')
INFO:root:('CHANGE', '991')
INFO:root:('CHANGE', '992')
INFO:root:('CHANGE', '993')
INFO:root:('CHANGE', '992')
INFO:root:('CHANGE', '991')
INFO:root:('CHANGE', '992')
INFO:root:('CHANGE', '991')
INFO:root:('CHANGE', '992')
INFO:root:('CHANGE', '991')
INFO:root:('CHANGE', '990')
INFO:root:('CHANGE', '991')
INFO:root:('CHANGE', '992')
INFO:root:('CHANGE', '993')
INFO:root:('CHANGE', '992')
INFO:root:('CHANGE', '993')
INFO:root:('CHANGE', '992')
INFO:root:('CHANGE', '993')
INFO:root:('CHANGE', '994')
INFO:root:('CHANGE', '995')
INFO:root:('CHANGE', '996')
INFO:root:('CHANGE', '997')
INFO:root:('CHANGE', '998')
INFO:root:('CHANGE', '999')
INFO:root:('CHANGE', '998')
INFO:root:('CHANGE', '999')
INFO:root:('CHANGE', '998')
INFO:root:('CHANGE', '997')
INFO:root:('CHANGE', '996')
INFO:root:('CHANGE', '997')
INFO:root:('CHANGE', '998')
INFO:root:('CHANGE', '997')
INFO:root:('CHANGE', '996')
INFO:root:('CHANGE', '995')
INFO:root:('CHANGE', '996')
INFO:root:('CHANGE', '997')
INFO:root:('CHANGE', '998')
INFO:root:('CHANGE', '999')
INFO:root:('CHANGE', '998')
INFO:root:('CHANGE', '999')
INFO:root:('CHANGE', '998')
INFO:root:('CHANGE', '999')
INFO:root:('CHANGE', '1000')
INFO:root:('CHANGE', '1001')
INFO:root:('CHANGE', '1002')
INFO:root:('CHANGE', '1001')
INFO:root:('CHANGE', '1002')
INFO:root:('CHANGE', '1003')
INFO:root:('CHANGE', '1004')
INFO:root:('CHANGE', '1005')
INFO:root:('CHANGE', '1006')
INFO:root:('CHANGE', '1007')
INFO:root:('CHANGE', '1008')
INFO:root:('CHANGE', '1009')
INFO:root:('CHANGE', '1008')
INFO:root:('CHANGE', '1009')
INFO:root:('CHANGE', '1010')
INFO:root:('CHANGE', '1009')
INFO:root:('CHANGE', '1010')
INFO:root:('CHANGE', '1011')
INFO:root:('CHANGE', '1010')
INFO:root:('CHANGE', '1011')
INFO:root:('CHANGE', '1010')
INFO:root:('CHANGE', '1011')
INFO:root:('CHANGE', '1012')
INFO:root:('CHANGE', '1011')
INFO:root:('CHANGE', '1010')
